Protein,Symbol,UniProtID,Log(AveExpr),P.Value,adj.P.Val,logFC,Peptide#,GO_CellCompID,GO_CellComp
D4ABA9_RAT,Xirp1,D4ABA9,19.9833,0.5626,0.5873,0.3607,,GO:0030054,cell junction
RL9_RAT,Rpl9,P17077,23.2134,0.5711,0.5953,0.2959,,GO:0005737,Cytosol
AT2B1_RAT,Atp2b1,P11505,21.7745,0.5727,0.5960,0.2926,,GO:0005654,Nucleus
D4AA63_RAT,Ubqln2,D4AA63,24.9712,0.5732,0.5960,0.2881,,GO:0005737,Cytosol
PGLT1_RAT,Poglut1,G3V9D0,22.0236,0.5880,0.6105,0.3247,,GO:0005783,endoplasmic reticulum
CHD8_RAT,Chd8,Q9JIX5,22.6362,0.5970,0.6190,0.2793,,GO:0005654,Nucleus
TBB3_RAT,Tubb3,Q4QRB4,26.2509,0.6114,0.6332,0.3069,,GO:0005856,cytoskeleton
TBA4A_RAT,Tuba4a,Q5XIF6,22.9578,0.6250,0.6464,0.2546,,GO:0005856,cytoskeleton
AGRL2_RAT,Adgrl2,O88923,22.6738,0.6327,0.6535,0.2529,,GO:0016020,membrane
S12A9_RAT,Slc12a9,Q66HR0,22.2980,0.6359,0.6553,0.2393,,GO:0016020,membrane
ITPR1_RAT,Itpr1,P29994,21.3811,0.6362,0.6553,0.2642,,GO:0005783,endoplasmic reticulum
GRM4_RAT,Grm4,P31423,19.4366,0.6399,0.6584,0.2853,,GO:0031410,cytoplasmic vesicle
K2C1B_RAT,Krt77,Q6IG01,20.5923,0.6459,0.6636,-0.2939,,GO:0005856,cytoskeleton
A0A0G2K654_RAT,Hist1h1c,A0A0G2K654,21.3857,0.6654,0.6827,-0.3174,,GO:0005634,Nucleus
SIAT9_RAT,St3gal5,Q68G12,20.5138,0.6717,0.6884,0.3372,,GO:0005794,Golgi
DHCR7_RAT,Dhcr7,Q9Z2Z8,20.7267,0.6798,0.6957,0.2373,,GO:0005783,endoplasmic reticulum
D4A628_RAT,Polq,D4A628,18.9271,0.7198,0.7357,0.1995,,GO:0005794,Golgi
K2C1_RAT,Krt1,Q6IMF3,24.5383,0.7367,0.7520,0.1823,,GO:0005882,Axon
F1LNL3_RAT,Abca1,F1LNL3,22.4674,0.7377,0.7520,-0.2603,,GO:0005794,Golgi
D4A5I4_RAT,Nav1,D4A5I4,23.5433,0.7650,0.7789,0.1742,,GO:0005856,cytoskeleton
D3ZEK5_RAT,Hs6st2,D3ZEK5,19.6508,0.7760,0.7891,0.1906,,GO:0016020,membrane
AT1A4_RAT,Atp1a4,Q64541,21.8242,0.7884,0.8006,0.1447,,GO:0016020,membrane
B0BNK1_RAT,Rab5c,B0BNK1,19.4535,0.8015,0.8129,0.1609,,GO:0098993,Mitochondrion
GRM5_RAT,Grm5,P31424,23.6016,0.8237,0.8343,0.1143,,GO:0005737,Cytosol
MFGM_RAT,Mfge8,P70490,20.8846,0.8506,0.8605,0.1266,,GO:0016020,membrane
MEGF8_RAT,Megf8,Q9QYP0,23.0632,0.8768,0.8858,0.0823,,GO:0005634,Nucleus
ANR46_RAT,Ankrd46,Q76K24,20.2297,0.8781,0.8860,0.0914,,GO:0016020,Axon
A0A0G2JXZ9_RAT,Ptprj,A0A0G2JXZ9,22.7349,0.8979,0.9048,0.0724,,GO:0030183,Axon
GSK3B_RAT,Gsk3b,P18266,20.4831,0.9059,0.9117,0.0674,,GO:0005737,Cytosol
TMX2_RAT,Tmx2,Q5XIK2,21.0230,0.9131,0.9178,-0.0638,,GO:0007420,Mitochondrion
A0A0G2JXE4_RAT,Fam214a,A0A0G2JXE4,18.1518,0.9272,0.9308,0.0779,,NA,NA
ATP5H_RAT,Atp5pd,P31399,21.1813,0.9448,0.9473,-0.0380,,GO:0016020,Mitochondrion
A0A0G2JUI5_RAT,Clasp1,A0A0G2JUI5,24.0571,0.9485,0.9497,-0.0509,,GO:0005794,Golgi
Q5U302_RAT,Ctnna1,Q5U302,22.1425,0.9818,0.9818,0.0192,,GO:0005856,cytoskeleton
