Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,Sample 1 Area,Sample 2 Area,Sample Profile (Ratio),A Area,B Area,Group Profile (Ratio),Avg. Mass,Description
419,632,Q62609|NOE1_RAT,1.57,4,2,2,,1.71E7,1.13E7,1.00:0.66,1.71E7,1.13E7,1.00:0.66,55442,Noelin OS=Rattus norvegicus GN=Olfm1 PE=1 SV=1
509,706,tr|A0A0G2K8I5|A0A0G2K8I5_RAT,1.56,1,1,1,,5.66E6,1.02E7,1.00:1.81,5.66E6,1.02E7,1.00:1.81,125989,Protein Pcdh19 OS=Rattus norvegicus GN=Pcdh19 PE=4 SV=1
211,222,P63138|GBRB2_RAT,1.56,10,5,1,Formylation,9.97E6,5.52E6,1.00:0.55,9.97E6,5.52E6,1.00:0.55,54634,Gamma-aminobutyric acid receptor subunit beta-2 OS=Rattus norvegicus GN=Gabrb2 PE=1 SV=1
109,113,Q8VHF0|MARK3_RAT,1.55,17,12,1,Carbamidomethylation; Oxidation (M); Phosphorylation (STY); Pyro-glu from Q,6.65E6,3.7E6,1.00:0.56,6.65E6,3.7E6,1.00:0.56,88751,MAP/microtubule affinity-regulating kinase 3 OS=Rattus norvegicus GN=Mark3 PE=1 SV=1
79,83,Q99376|TFR1_RAT,1.54,18,11,11,Pyro-glu from Q; Formylation,3.4E7,2.52E7,1.00:0.74,3.4E7,2.52E7,1.00:0.74,70153,Transferrin receptor protein 1 (Fragment) OS=Rattus norvegicus GN=Tfrc PE=2 SV=1
384,448,O35795|ENTP2_RAT,1.54,3,2,2,,7.3E6,4.83E6,1.00:0.66,7.3E6,4.83E6,1.00:0.66,54390,Ectonucleoside triphosphate diphosphohydrolase 2 OS=Rattus norvegicus GN=Entpd2 PE=1 SV=1
483,878,Q7TMB0|PLPR3_RAT,1.53,2,1,1,,2.34E6,1.3E6,1.00:0.56,2.34E6,1.3E6,1.00:0.56,76786,Phospholipid phosphatase-related protein type 3 OS=Rattus norvegicus GN=Plppr3 PE=2 SV=1
456,883,tr|F1LN91|F1LN91_RAT,1.53,1,1,1,,6.6E6,1.17E7,1.00:1.78,6.6E6,1.17E7,1.00:1.78,164794,Protein Tns3 OS=Rattus norvegicus GN=Tns3 PE=1 SV=2
471,727,tr|A0A0G2JYA6|A0A0G2JYA6_RAT,1.52,6,1,1,,5.35E6,3.01E6,1.00:0.56,5.35E6,3.01E6,1.00:0.56,14932,Uncharacterized protein OS=Rattus norvegicus PE=3 SV=1
98,69,tr|F1M8K0|F1M8K0_RAT,1.50,12,9,9,Carbamidomethylation; Formylation,4.18E7,5.8E7,1.00:1.39,4.18E7,5.8E7,1.00:1.39,96706,Protein Dag1 OS=Rattus norvegicus GN=Dag1 PE=1 SV=1
354,511,tr|A0A0G2K6F2|A0A0G2K6F2_RAT,1.49,1,2,2,,6.97E6,4.51E6,1.00:0.65,6.97E6,4.51E6,1.00:0.65,373423,Protein Csmd2 OS=Rattus norvegicus GN=Csmd2 PE=4 SV=1
15,34,tr|A0A0H2UHM7|A0A0H2UHM7_RAT,1.48,64,31,2,Carbamidomethylation; Carbamylation; Deamidation (NQ); Dehydration; Formylation; 6 more,2.78E7,4.29E7,1.00:1.54,2.78E7,4.29E7,1.00:1.54,49806,Tubulin alpha chain OS=Rattus norvegicus GN=LOC100909441 PE=3 SV=1
287,246,P31647|S6A11_RAT,1.48,7,4,4,,2.05E7,1.48E7,1.00:0.72,2.05E7,1.48E7,1.00:0.72,69947,Sodium- and chloride-dependent GABA transporter 3 OS=Rattus norvegicus GN=Slc6a11 PE=1 SV=1
535,7295,tr|M0R868|M0R868_RAT,1.48,2,1,1,,7.99E5,4.54E5,1.00:0.57,7.99E5,4.54E5,1.00:0.57,57842,Sulfotransferase OS=Rattus norvegicus GN=Chst2 PE=3 SV=1
3,6,Q3KRE8|TBB2B_RAT,1.48,68,34,1,Carbamidomethylation; Carbamylation; Deamidation (NQ); Dehydration; Formylation; 8 more,1.39E8,1.01E8,1.00:0.73,1.39E8,1.01E8,1.00:0.73,49953,Tubulin beta-2B chain OS=Rattus norvegicus GN=Tubb2b PE=1 SV=1
97,102,tr|M0RC17|M0RC17_RAT,1.47,9,10,10,Carbamidomethylation; Deamidation (NQ); Oxidation (M),5.2E7,3.81E7,1.00:0.73,5.2E7,3.81E7,1.00:0.73,135610,Protein Chl1 OS=Rattus norvegicus GN=Chl1 PE=1 SV=2
197,199,P41740|ANPRC_RAT,1.47,11,5,5,Carbamidomethylation,2E7,1.47E7,1.00:0.74,2E7,1.47E7,1.00:0.74,59728,Atrial natriuretic peptide receptor 3 OS=Rattus norvegicus GN=Npr3 PE=2 SV=1
132,139,Q99J86|ATRN_RAT,1.46,5,7,7,Carbamidomethylation; Formylation,2.66E7,1.98E7,1.00:0.74,2.66E7,1.98E7,1.00:0.74,158672,Attractin OS=Rattus norvegicus GN=Atrn PE=2 SV=1
111,133,P06685|AT1A1_RAT,1.45,14,11,1,Carbamidomethylation; Formylation; Oxidation (M); Pyro-glu from Q,3.96E6,2.27E6,1.00:0.57,3.96E6,2.27E6,1.00:0.57,113054,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Rattus norvegicus GN=Atp1a1 PE=1 SV=1
272,555,Q6IG00|K2C4_RAT,1.45,6,4,1,Carbamidomethylation; Formylation; Diethylation,5.19E6,8.97E6,1.00:1.73,5.19E6,8.97E6,1.00:1.73,57667,Keratin  type II cytoskeletal 4 OS=Rattus norvegicus GN=Krt4 PE=3 SV=1
43,26,tr|A0A0G2K7P9|A0A0G2K7P9_RAT,1.42,28,21,21,Carbamidomethylation; Formylation; Oxidation (M); Pyro-glu from Q; Phosphorylation (STY),1.63E8,2.16E8,1.00:1.33,1.63E8,2.16E8,1.00:1.33,93062,Protein Ncam2 OS=Rattus norvegicus GN=Ncam2 PE=1 SV=1
521,852,tr|D4A8L4|D4A8L4_RAT,1.42,1,1,1,,1.91E7,1.11E7,1.00:0.58,1.91E7,1.11E7,1.00:0.58,105160,Protein Dcaf6 OS=Rattus norvegicus GN=Dcaf6 PE=1 SV=2
63,67,O35112|CD166_RAT,1.42,30,15,15,Carbamidomethylation; Carbamylation; Formylation; Oxidation (M); Pyro-glu from Q,9.85E7,7.59E7,1.00:0.77,9.85E7,7.59E7,1.00:0.77,65022,CD166 antigen OS=Rattus norvegicus GN=Alcam PE=1 SV=1
348,410,Q62952|DPYL3_RAT,1.41,4,2,1,Carbamidomethylation,3.45E6,2.01E6,1.00:0.58,3.45E6,2.01E6,1.00:0.58,61967,Dihydropyrimidinase-related protein 3 OS=Rattus norvegicus GN=Dpysl3 PE=1 SV=2
115,190,tr|F1M949|F1M949_RAT,1.40,3,5,5,,5.78E7,4.28E7,1.00:0.74,5.78E7,4.28E7,1.00:0.74,187919,Protein Ckap5 OS=Rattus norvegicus GN=Ckap5 PE=1 SV=3
195,171,Q62888|NLGN2_RAT,1.39,10,6,2,,1.2E7,8.16E6,1.00:0.68,1.2E7,8.16E6,1.00:0.68,90961,Neuroligin-2 OS=Rattus norvegicus GN=Nlgn2 PE=1 SV=1
230,251,tr|A0A0G2KBB9|A0A0G2KBB9_RAT,1.39,1,4,1,,1.87E6,1.1E6,1.00:0.59,1.87E6,1.1E6,1.00:0.59,433524,Protein Ank2 OS=Rattus norvegicus GN=Ank2 PE=1 SV=1
411,535,tr|G3V7D4|G3V7D4_RAT,1.39,4,1,1,,5.26E6,3.1E6,1.00:0.59,5.26E6,3.1E6,1.00:0.59,35793,Ephrin B3 (Predicted) OS=Rattus norvegicus GN=Efnb3 PE=3 SV=1
68,63,tr|F1M3J7|F1M3J7_RAT,1.38,13,16,16,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Formylation,1.11E8,7.88E7,1.00:0.71,1.11E8,7.88E7,1.00:0.71,137601,Protein Cntnap4 OS=Rattus norvegicus GN=Cntnap4 PE=4 SV=3
435,7311,P68511|1433F_RAT,1.38,3,1,1,,4.65E6,2.75E6,1.00:0.59,4.65E6,2.75E6,1.00:0.59,28212,14-3-3 protein eta OS=Rattus norvegicus GN=Ywhah PE=1 SV=2
449,707,tr|D4A9J3|D4A9J3_RAT,1.37,1,1,1,,2.28E6,1.35E6,1.00:0.59,2.28E6,1.35E6,1.00:0.59,92543,Protein Sema4c OS=Rattus norvegicus GN=Sema4c PE=4 SV=1
303,311,tr|Q32KJ5|Q32KJ5_RAT,1.36,7,4,4,,1.87E7,1.42E7,1.00:0.76,1.87E7,1.42E7,1.00:0.76,60914,N-acetylglucosamine-6-sulfatase OS=Rattus norvegicus GN=Gns PE=1 SV=1
408,494,P49242|RS3A_RAT,1.36,6,2,2,,1.69E7,1.18E7,1.00:0.70,1.69E7,1.18E7,1.00:0.70,29945,40S ribosomal protein S3a OS=Rattus norvegicus GN=Rps3a PE=1 SV=2
530,908,tr|M0R682|M0R682_RAT,1.35,1,1,1,,2.27E7,1.36E7,1.00:0.60,2.27E7,1.36E7,1.00:0.60,131516,Protein Actl11 OS=Rattus norvegicus GN=Actl11 PE=1 SV=1
388,496,tr|G3V8D0|G3V8D0_RAT,1.34,3,1,1,,2.76E6,1.65E6,1.00:0.60,2.76E6,1.65E6,1.00:0.60,43902,Protein St8sia3 OS=Rattus norvegicus GN=St8sia3 PE=1 SV=1
536,7326,tr|Q5EBC0|Q5EBC0_RAT,1.34,1,1,1,,1.29E7,7.73E6,1.00:0.60,1.29E7,7.73E6,1.00:0.60,103755,Inter alpha-trypsin inhibitor  heavy chain 4 OS=Rattus norvegicus GN=Itih4 PE=1 SV=1
190,183,Q3KRE0|ATAD3_RAT,1.33,13,7,7,,3.18E7,2.39E7,1.00:0.75,3.18E7,2.39E7,1.00:0.75,66759,ATPase family AAA domain-containing protein 3 OS=Rattus norvegicus GN=Atad3 PE=1 SV=1
326,317,P54757|EPHA5_RAT,1.31,2,2,2,Carbamidomethylation,3.12E7,2.21E7,1.00:0.71,3.12E7,2.21E7,1.00:0.71,111007,Ephrin type-A receptor 5 OS=Rattus norvegicus GN=Epha5 PE=1 SV=1
217,170,P54290|CA2D1_RAT,1.31,6,6,6,Carbamidomethylation,1.97E7,1.47E7,1.00:0.75,1.97E7,1.47E7,1.00:0.75,123823,Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Rattus norvegicus GN=Cacna2d1 PE=1 SV=1
251,295,P18484|AP2A2_RAT,1.30,5,5,1,Carbamidomethylation; Pyro-glu from Q,4.28E6,2.59E6,1.00:0.61,4.28E6,2.59E6,1.00:0.61,104045,AP-2 complex subunit alpha-2 OS=Rattus norvegicus GN=Ap2a2 PE=1 SV=3
89,81,tr|D3ZH41|D3ZH41_RAT,1.30,42,12,12,Carbamylation; Formylation; Oxidation (M); Methylation(KR),6E7,4.57E7,1.00:0.76,6E7,4.57E7,1.00:0.76,36316,Cytoskeleton-associated protein 4 (Predicted) OS=Rattus norvegicus GN=Ckap4 PE=1 SV=2
209,319,P31421|GRM2_RAT,1.29,4,4,2,Oxidation (M),5.07E6,3.54E6,1.00:0.70,5.07E6,3.54E6,1.00:0.70,95774,Metabotropic glutamate receptor 2 OS=Rattus norvegicus GN=Grm2 PE=1 SV=1
453,803,tr|D3ZJF8|D3ZJF8_RAT,1.26,0,1,1,,9.55E6,1.55E7,1.00:1.63,9.55E6,1.55E7,1.00:1.63,275161,Protein Fcgbp OS=Rattus norvegicus GN=Fcgbp PE=1 SV=3
465,592,P63035|CYH2_RAT,1.25,3,1,1,,1.08E7,6.71E6,1.00:0.62,1.08E7,6.71E6,1.00:0.62,46571,Cytohesin-2 OS=Rattus norvegicus GN=Cyth2 PE=1 SV=1
172,236,P17046|LAMP2_RAT,1.24,8,4,4,Deamidation (NQ); Formylation,8.21E7,6.42E7,1.00:0.78,8.21E7,6.42E7,1.00:0.78,45164,Lysosome-associated membrane glycoprotein 2 OS=Rattus norvegicus GN=Lamp2 PE=1 SV=2
433,7288,tr|D4A1G8|D4A1G8_RAT,1.24,1,1,1,,2.52E6,1.56E6,1.00:0.62,2.52E6,1.56E6,1.00:0.62,171694,Protein Cep170b OS=Rattus norvegicus GN=Cep170b PE=1 SV=1
522,855,P20272|CNR1_RAT,1.23,2,1,1,,2.34E6,1.45E6,1.00:0.62,2.34E6,1.45E6,1.00:0.62,52845,Cannabinoid receptor 1 OS=Rattus norvegicus GN=Cnr1 PE=1 SV=1
418,617,Q5NDF0|PMGT2_RAT,1.22,4,2,2,,1.32E7,9.49E6,1.00:0.72,1.32E7,9.49E6,1.00:0.72,66717,Protein O-linked-mannose beta-1 4-N-acetylglucosaminyltransferase 2 OS=Rattus norvegicus GN=Pomgnt2 PE=2 SV=1
401,420,P18508|GBRG2_RAT,1.22,4,2,2,,1.33E7,9.6E6,1.00:0.72,1.33E7,9.6E6,1.00:0.72,54077,Gamma-aminobutyric acid receptor subunit gamma-2 OS=Rattus norvegicus GN=Gabrg2 PE=1 SV=1
407,481,tr|A0A0G2K6T9|A0A0G2K6T9_RAT,1.22,1,2,2,,1.6E7,1.14E7,1.00:0.72,1.6E7,1.14E7,1.00:0.72,128736,Protein Pcdh1 OS=Rattus norvegicus GN=Pcdh1 PE=1 SV=1
203,182,P35439|NMDZ1_RAT,1.22,5,5,5,,3.59E7,2.84E7,1.00:0.79,3.59E7,2.84E7,1.00:0.79,105509,Glutamate receptor ionotropic  NMDA 1 OS=Rattus norvegicus GN=Grin1 PE=1 SV=1
430,780,P35400|GRM7_RAT,1.22,3,2,2,,1.26E7,8.84E6,1.00:0.70,1.26E7,8.84E6,1.00:0.70,102232,Metabotropic glutamate receptor 7 OS=Rattus norvegicus GN=Grm7 PE=1 SV=1
368,484,Q64542|AT2B4_RAT,1.20,1,1,1,,6.66E6,4.19E6,1.00:0.63,6.66E6,4.19E6,1.00:0.63,133094,Plasma membrane calcium-transporting ATPase 4 OS=Rattus norvegicus GN=Atp2b4 PE=1 SV=1
2,2,tr|D3Z981|D3Z981_RAT,1.19,40,65,54,Carbamidomethylation; Carbamylation; Formylation; Hexose (NSY); Methylation(KR); 7 more,3.73E8,2.97E8,1.00:0.80,3.73E8,2.97E8,1.00:0.80,213190,Protein Plxna1 OS=Rattus norvegicus GN=Plxna1 PE=4 SV=3
22,103,Q5XIF6|TBA4A_RAT,1.19,51,25,1,Carbamidomethylation; Carbamylation; Deamidation (NQ); Formylation; Oxidation (M); 6 more,2.54E7,1.86E7,1.00:0.73,2.54E7,1.86E7,1.00:0.73,49924,Tubulin alpha-4A chain OS=Rattus norvegicus GN=Tuba4a PE=1 SV=1
307,401,Q62763|KC1G3_RAT,1.18,8,3,3,Carbamidomethylation; Deamidation (NQ); Dehydration,1.2E7,9.13E6,1.00:0.76,1.2E7,9.13E6,1.00:0.76,51429,Casein kinase I isoform gamma-3 OS=Rattus norvegicus GN=Csnk1g3 PE=1 SV=1
541,7392,P11442|CLH1_RAT,1.18,0,1,1,,4.69E6,2.97E6,1.00:0.63,4.69E6,2.97E6,1.00:0.63,191597,Clathrin heavy chain 1 OS=Rattus norvegicus GN=Cltc PE=1 SV=3
18,44,tr|Q4QQV0|Q4QQV0_RAT,1.18,38,20,2,Carbamidomethylation; Carbamylation; Deamidation (NQ); Formylation; Methylation(KR); 4 more,1.44E7,1.03E7,1.00:0.72,1.44E7,1.03E7,1.00:0.72,50059,Tubulin beta chain OS=Rattus norvegicus GN=Tubb6 PE=1 SV=1
350,461,P19491|GRIA2_RAT,1.17,3,2,2,,1.25E7,9.06E6,1.00:0.73,1.25E7,9.06E6,1.00:0.73,98688,Glutamate receptor 2 OS=Rattus norvegicus GN=Gria2 PE=1 SV=2
538,7374,tr|D3ZKN9|D3ZKN9_RAT,1.17,1,1,1,,6.66E6,1.05E7,1.00:1.57,6.66E6,1.05E7,1.00:1.57,52679,Protein Dcaf12l2 OS=Rattus norvegicus GN=Dcaf12l2 PE=4 SV=2
497,540,tr|A0A0G2KAE2|A0A0G2KAE2_RAT,1.16,3,1,1,,7.7E6,4.9E6,1.00:0.64,7.7E6,4.9E6,1.00:0.64,39623,Protein Tusc3 OS=Rattus norvegicus GN=Tusc3 PE=1 SV=1
363,7319,tr|A0A0G2K808|A0A0G2K808_RAT,1.15,1,1,1,,3.44E7,5.37E7,1.00:1.56,3.44E7,5.37E7,1.00:1.56,94323,Protein Asap2 OS=Rattus norvegicus GN=Asap2 PE=1 SV=1
134,184,tr|A0A0G2JUG7|A0A0G2JUG7_RAT,1.15,6,6,3,Carbamidomethylation,1.16E7,8.81E6,1.00:0.76,1.16E7,8.81E6,1.00:0.76,108080,Protein Iqsec1 OS=Rattus norvegicus GN=Iqsec1 PE=1 SV=1
245,223,P07340|AT1B1_RAT,1.14,16,4,4,Carbamidomethylation,6.34E7,4.99E7,1.00:0.79,6.34E7,4.99E7,1.00:0.79,35202,Sodium/potassium-transporting ATPase subunit beta-1 OS=Rattus norvegicus GN=Atp1b1 PE=1 SV=1
514,789,tr|D4A2I9|D4A2I9_RAT,1.13,1,1,1,,2.38E6,1.53E6,1.00:0.64,2.38E6,1.53E6,1.00:0.64,114449,Protein Sorcs3 OS=Rattus norvegicus GN=Sorcs3 PE=4 SV=3
148,137,tr|D3ZSY8|D3ZSY8_RAT,1.13,19,8,8,Acetylation (Protein N-term); Oxidation (M),3.24E7,2.5E7,1.00:0.77,3.24E7,2.5E7,1.00:0.77,86649,Protein Tbc1d10b OS=Rattus norvegicus GN=Tbc1d10b PE=1 SV=1
256,390,Q6IG02|K22E_RAT,1.13,6,4,3,Carbamidomethylation; Deoxy,1.42E7,1.84E7,1.00:1.29,1.42E7,1.84E7,1.00:1.29,69127,Keratin  type II cytoskeletal 2 epidermal OS=Rattus norvegicus GN=Krt2 PE=3 SV=1
304,372,tr|G3V886|G3V886_RAT,1.12,3,2,2,,7.41E6,5.42E6,1.00:0.73,7.41E6,5.42E6,1.00:0.73,79796,Protein LOC100910779 OS=Rattus norvegicus GN=LOC100910779 PE=1 SV=1
365,462,Q9QUH6|SYGP1_RAT,1.12,1,1,1,,5.22E6,3.36E6,1.00:0.64,5.22E6,3.36E6,1.00:0.64,144722,Ras/Rap GTPase-activating protein SynGAP OS=Rattus norvegicus GN=Syngap1 PE=1 SV=2
373,740,tr|G3V6U3|G3V6U3_RAT,1.11,2,1,1,,6.66E6,4.3E6,1.00:0.65,6.66E6,4.3E6,1.00:0.65,47319,Asparagine-linked glycosylation 2 homolog (Yeast  alpha-1 3-mannosyltransferase)  isoform CRA_a OS=Rattus norvegicus GN=Alg2 PE=1 SV=1
152,122,tr|D3Z9D0|D3Z9D0_RAT,1.11,5,8,8,Formylation,2.65E7,2.07E7,1.00:0.78,2.65E7,2.07E7,1.00:0.78,201944,Protein RGD1306271 OS=Rattus norvegicus GN=RGD1306271 PE=1 SV=3
466,629,Q62826|HNRPM_RAT,1.11,2,1,1,,2.52E6,1.63E6,1.00:0.65,2.52E6,1.63E6,1.00:0.65,73782,Heterogeneous nuclear ribonucleoprotein M OS=Rattus norvegicus GN=Hnrnpm PE=1 SV=4
149,271,O08679|MARK2_RAT,1.08,13,8,1,Carbamidomethylation; Oxidation (M); Phosphorylation (STY); Pyro-glu from Q,7.27E6,4.75E6,1.00:0.65,7.27E6,4.75E6,1.00:0.65,80872,Serine/threonine-protein kinase MARK2 OS=Rattus norvegicus GN=Mark2 PE=1 SV=1
443,903,tr|A0A0G2JU05|A0A0G2JU05_RAT,1.08,1,1,1,,1.12E7,7.33E6,1.00:0.66,1.12E7,7.33E6,1.00:0.66,119651,Protein Llgl2 OS=Rattus norvegicus GN=Llgl2 PE=1 SV=1
525,876,tr|D3ZN16|D3ZN16_RAT,1.07,6,1,1,Carbamidomethylation,6.38E7,9.63E7,1.00:1.51,6.38E7,9.63E7,1.00:1.51,47591,Protein Sergef OS=Rattus norvegicus GN=Sergef PE=1 SV=2
460,531,Q6W5G4|PLPR2_RAT,1.07,6,1,1,Carbamidomethylation,1.26E7,8.3E6,1.00:0.66,1.26E7,8.3E6,1.00:0.66,36936,Phospholipid phosphatase-related protein type 2 OS=Rattus norvegicus GN=Plppr2 PE=1 SV=1
179,200,tr|D3ZT20|D3ZT20_RAT,1.07,8,5,5,Carbamidomethylation; Pyro-glu from Q,2.47E7,1.96E7,1.00:0.79,2.47E7,1.96E7,1.00:0.79,93841,Protein Fbxo41 OS=Rattus norvegicus GN=Fbxo41 PE=1 SV=3
265,336,tr|D4ACV3|D4ACV3_RAT,1.06,19,3,3,Formylation,4.83E7,3.81E7,1.00:0.79,4.83E7,3.81E7,1.00:0.79,13645,Histone H2A OS=Rattus norvegicus GN=Hist2h2ac PE=3 SV=2
406,466,P38718|MPC2_RAT,1.06,9,1,1,,9.08E6,1.32E7,1.00:1.46,9.08E6,1.32E7,1.00:1.46,14258,Mitochondrial pyruvate carrier 2 OS=Rattus norvegicus GN=Mpc2 PE=2 SV=1
144,118,O88923|AGRL2_RAT,1.06,6,8,7,Carbamidomethylation,1.95E7,2.5E7,1.00:1.29,1.95E7,2.5E7,1.00:1.29,166728,Adhesion G protein-coupled receptor L2 OS=Rattus norvegicus GN=Adgrl2 PE=1 SV=2
501,560,Q6P5P5|MEST_RAT,1.05,3,1,1,,9.37E6,6.22E6,1.00:0.66,9.37E6,6.22E6,1.00:0.66,38879,Mesoderm-specific transcript homolog protein OS=Rattus norvegicus GN=Mest PE=2 SV=1
517,826,tr|B1WBY1|B1WBY1_RAT,1.05,1,1,1,,3.63E6,2.41E6,1.00:0.66,3.63E6,2.41E6,1.00:0.66,89691,Cul1 protein OS=Rattus norvegicus GN=Cul1 PE=1 SV=1
324,289,B5DF41|SNPH_RAT,1.05,6,3,1,,8.55E6,5.66E6,1.00:0.66,8.55E6,5.66E6,1.00:0.66,54494,Syntaphilin OS=Rattus norvegicus GN=Snph PE=1 SV=1
377,7310,tr|D3ZN27|D3ZN27_RAT,1.04,1,1,1,,4.5E6,2.99E6,1.00:0.66,4.5E6,2.99E6,1.00:0.66,254506,Protein Dnajc13 OS=Rattus norvegicus GN=Dnajc13 PE=1 SV=2
310,363,Q8R508|FAT3_RAT,1.04,1,3,2,,4.88E6,3.65E6,1.00:0.75,4.88E6,3.65E6,1.00:0.75,502092,Protocadherin Fat 3 OS=Rattus norvegicus GN=Fat3 PE=1 SV=1
106,80,Q64428|ECHA_RAT,1.03,16,10,10,Acetylation (N-term); Oxidation (M); Phosphorylation (STY),4.68E7,3.76E7,1.00:0.80,4.68E7,3.76E7,1.00:0.80,82665,Trifunctional enzyme subunit alpha  mitochondrial OS=Rattus norvegicus GN=Hadha PE=1 SV=2
475,796,tr|A0A0G2K490|A0A0G2K490_RAT,1.02,1,1,1,,3.79E6,2.53E6,1.00:0.67,3.79E6,2.53E6,1.00:0.67,154971,Protein Tnik OS=Rattus norvegicus GN=Tnik PE=1 SV=1
184,269,P48721|GRP75_RAT,1.02,11,6,6,Pyro-glu from Q; Propionamide (K  X@N-term),3.05E7,2.42E7,1.00:0.79,3.05E7,2.42E7,1.00:0.79,73858,Stress-70 protein  mitochondrial OS=Rattus norvegicus GN=Hspa9 PE=1 SV=3
116,104,tr|A0A0G2K8S6|A0A0G2K8S6_RAT,1.02,11,9,9,Formylation; Pyro-glu from Q,3.81E7,3.06E7,1.00:0.80,3.81E7,3.06E7,1.00:0.80,91963,Glucosidase 1 OS=Rattus norvegicus GN=LOC103692171 PE=1 SV=1
353,647,Q00715|H2B1_RAT,1.01,23,3,3,Pyro-glu from Q,9.37E7,7.62E7,1.00:0.81,9.37E7,7.62E7,1.00:0.81,13990,Histone H2B type 1 OS=Rattus norvegicus PE=1 SV=2
271,314,tr|D3ZH36|D3ZH36_RAT,1.00,5,4,4,2-amino-3-oxo-butanoic_acid,2.12E7,1.68E7,1.00:0.79,2.12E7,1.68E7,1.00:0.79,89960,Protein Elfn2 OS=Rattus norvegicus GN=Elfn2 PE=1 SV=3
292,302,tr|D3ZTG3|D3ZTG3_RAT,1.00,7,3,3,,1.38E7,1.08E7,1.00:0.78,1.38E7,1.08E7,1.00:0.78,84822,Protein Fam171b OS=Rattus norvegicus GN=Fam171b PE=1 SV=2
199,193,P69060|NEUA_RAT,1.00,17,6,6,Carbamidomethylation; Propionamide (K  X@N-term),3.53E7,2.75E7,1.00:0.78,3.53E7,2.75E7,1.00:0.78,48129,N-acylneuraminate cytidylyltransferase OS=Rattus norvegicus GN=Cmas PE=2 SV=1
306,388,Q9Z214|HOME1_RAT,0.99,12,4,4,Acetylation (Protein N-term),1.43E7,1.14E7,1.00:0.80,1.43E7,1.14E7,1.00:0.80,41305,Homer protein homolog 1 OS=Rattus norvegicus GN=Homer1 PE=1 SV=2
243,2946,tr|G3V7K5|G3V7K5_RAT,0.99,2,3,3,Oxidation (M),2.06E7,1.64E7,1.00:0.79,2.06E7,1.64E7,1.00:0.79,142950,Protein Npc1 OS=Rattus norvegicus GN=Npc1 PE=1 SV=1
133,160,tr|D3ZW09|D3ZW09_RAT,0.98,8,9,9,,2.03E7,2.53E7,1.00:1.25,2.03E7,2.53E7,1.00:1.25,128825,Protein Sorcs2 OS=Rattus norvegicus GN=Sorcs2 PE=1 SV=3
372,631,tr|F1LNP8|F1LNP8_RAT,0.98,3,1,1,,3.18E6,2.17E6,1.00:0.68,3.18E6,2.17E6,1.00:0.68,57156,Poliovirus receptor-related 1 OS=Rattus norvegicus GN=Nectin1 PE=1 SV=2
495,7457,P18445|RL27A_RAT,0.95,7,1,1,,6.35E6,4.37E6,1.00:0.69,6.35E6,4.37E6,1.00:0.69,16618,60S ribosomal protein L27a OS=Rattus norvegicus GN=Rpl27a PE=1 SV=3
332,444,Q6IFV3|K1C15_RAT,0.94,3,2,1,,1.66E7,2.41E7,1.00:1.45,1.66E7,2.41E7,1.00:1.45,48870,Keratin  type I cytoskeletal 15 OS=Rattus norvegicus GN=Krt15 PE=1 SV=1
90,93,tr|A0A0G2K999|A0A0G2K999_RAT,0.92,7,13,13,Carbamidomethylation; Deamidation (NQ); Formylation,6.01E7,7.51E7,1.00:1.25,6.01E7,7.51E7,1.00:1.25,239877,Protein Sdk2 OS=Rattus norvegicus GN=Sdk2 PE=1 SV=1
513,768,P19492|GRIA3_RAT,0.92,2,1,1,,2.34E6,1.62E6,1.00:0.69,2.34E6,1.62E6,1.00:0.69,100373,Glutamate receptor 3 OS=Rattus norvegicus GN=Gria3 PE=1 SV=1
454,814,tr|G3V6N7|G3V6N7_RAT,0.91,1,1,1,,2.82E6,1.95E6,1.00:0.69,2.82E6,1.95E6,1.00:0.69,127594,Protein Slc12a6 OS=Rattus norvegicus GN=Slc12a6 PE=1 SV=1
35,46,Q9WV63|KIF2A_RAT,0.91,29,19,19,Carbamidomethylation; Acetylation (N-term); Deamidation (NQ); Formylation; Oxidation (M); 2 more,1.02E8,8.44E7,1.00:0.83,1.02E8,8.44E7,1.00:0.83,79792,Kinesin-like protein KIF2A OS=Rattus norvegicus GN=Kif2a PE=1 SV=2
93,157,P04218|OX2G_RAT,0.91,21,9,9,Carbamidomethylation; Formylation; Pyro-glu from Q; Carboxymethyl (KW  X@N-term),3.84E8,3.25E8,1.00:0.85,3.84E8,3.25E8,1.00:0.85,31088,OX-2 membrane glycoprotein OS=Rattus norvegicus GN=Cd200 PE=2 SV=1
392,598,tr|D4A5X7|D4A5X7_RAT,0.91,6,2,2,,7.24E6,9.5E6,1.00:1.31,7.24E6,9.5E6,1.00:1.31,41217,Ganglioside-induced differentiation-associated-protein 1 (Predicted) OS=Rattus norvegicus GN=Gdap1 PE=4 SV=1
477,830,tr|D4A123|D4A123_RAT,0.91,1,1,1,,8.69E6,6.05E6,1.00:0.70,8.69E6,6.05E6,1.00:0.70,72086,Protein Prdm8 OS=Rattus norvegicus GN=Prdm8 PE=4 SV=1
