Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,Sample 2 Area,Sample 4 Area,Sample Profile (Ratio),A HCD Area,B HCD Area,Group Profile (Ratio),Avg. Mass,Description
298,11868,Q66HR0|S12A9_RAT,0.61,14,8,8,Carbamidomethylation,2.31E7,1.79E7,1.13:0.87,2.31E7,1.79E7,1.13:0.87,96005,Solute carrier family 12 member 9 OS=Rattus norvegicus GN=Slc12a9 PE=1 SV=1
234,146,Q8R4E1|TIP_RAT,0.61,18,11,11,Carbamidomethylation,9.89E7,7.84E7,1.12:0.88,9.89E7,7.84E7,1.12:0.88,67337,T-cell immunomodulatory protein OS=Rattus norvegicus GN=Itfg1 PE=2 SV=1
200,1402,tr|D3ZC56|D3ZC56_RAT,0.61,1,8,7,,9.32E6,6.27E6,1.20:0.80,9.32E6,6.27E6,1.20:0.80,847223,Protein Dst OS=Rattus norvegicus GN=Dst PE=1 SV=3
1396,43250,tr|G3V6B5|G3V6B5_RAT,0.61,2,1,1,,2.31E6,4.28E6,0.70:1.30,2.31E6,4.28E6,0.70:1.30,42881,Protein Serpinb7 OS=Rattus norvegicus GN=Serpinb7 PE=3 SV=1
334,346,tr|F1MA42|F1MA42_RAT,0.61,4,3,3,Carbamidomethylation,1.78E7,1.38E7,1.13:0.87,1.78E7,1.38E7,1.13:0.87,107502,Protein Sez6 OS=Rattus norvegicus GN=Sez6 PE=1 SV=2
312,242,tr|B2RYC9|B2RYC9_RAT,0.61,19,8,8,,4.16E7,3.24E7,1.12:0.88,4.16E7,3.24E7,1.12:0.88,57492,Glucosylceramidase OS=Rattus norvegicus GN=Gba PE=1 SV=1
1253,12609,tr|F1M8Y4|F1M8Y4_RAT,0.61,3,1,1,,4.41E5,8.17E5,0.70:1.30,4.41E5,8.17E5,0.70:1.30,46227,Protein Deptor OS=Rattus norvegicus GN=Deptor PE=1 SV=2
762,3545,tr|D4A9J3|D4A9J3_RAT,0.60,1,1,1,Carbamidomethylation,8.09E5,4.37E5,1.30:0.70,8.09E5,4.37E5,1.30:0.70,92543,Protein Sema4c OS=Rattus norvegicus GN=Sema4c PE=4 SV=1
1255,12745,Q3B7T9|RFIP1_RAT,0.60,2,1,1,,1.13E6,6.13E5,1.30:0.70,1.13E6,6.13E5,1.30:0.70,71144,Rab11 family-interacting protein 1 OS=Rattus norvegicus GN=Rab11fip1 PE=1 SV=1
1268,42307,Q53UA7|TAOK3_RAT,0.60,1,1,1,,1.35E6,2.48E6,0.71:1.29,1.35E6,2.48E6,0.71:1.29,105474,Serine/threonine-protein kinase TAO3 OS=Rattus norvegicus GN=Taok3 PE=1 SV=1
1100,41567,tr|F1M1I3|F1M1I3_RAT,0.60,8,2,1,Carbamidomethylation,2.62E6,1.43E6,1.29:0.71,2.62E6,1.43E6,1.29:0.71,23244,Protein RGD1559441 OS=Rattus norvegicus GN=RGD1559441 PE=4 SV=3
787,21078,tr|A0A0G2JUT7|A0A0G2JUT7_RAT,0.59,3,2,2,,5.37E6,4.13E6,1.13:0.87,5.37E6,4.13E6,1.13:0.87,55271,Protein B3glct OS=Rattus norvegicus GN=B3glct PE=1 SV=1
351,144,P32089|TXTP_RAT,0.59,25,9,8,Carbamidomethylation,1.39E8,1.12E8,1.11:0.89,1.39E8,1.12E8,1.11:0.89,33835,Tricarboxylate transport protein  mitochondrial OS=Rattus norvegicus GN=Slc25a1 PE=1 SV=1
1293,12276,Q62682|CNTN3_RAT,0.58,1,1,1,,8.23E5,4.54E5,1.29:0.71,8.23E5,4.54E5,1.29:0.71,112788,Contactin-3 OS=Rattus norvegicus GN=Cntn3 PE=1 SV=1
1292,2127,P22063|CNTN2_RAT,0.58,1,1,1,,1.51E6,8.36E5,1.29:0.71,1.51E6,8.36E5,1.29:0.71,113043,Contactin-2 OS=Rattus norvegicus GN=Cntn2 PE=1 SV=1
6,17,Q9R1K2|TEN2_RAT,0.58,34,75,64,Carbamidomethylation,2.35E8,1.89E8,1.11:0.89,2.35E8,1.89E8,1.11:0.89,307473,Teneurin-2 OS=Rattus norvegicus GN=Tenm2 PE=1 SV=2
781,1710,tr|A0A0G2K0P1|A0A0G2K0P1_RAT,0.57,2,1,1,,9.05E5,5.06E5,1.28:0.72,9.05E5,5.06E5,1.28:0.72,89425,Protein Kifap3 OS=Rattus norvegicus GN=Kifap3 PE=1 SV=1
262,20975,tr|A0A0G2K1Z9|A0A0G2K1Z9_RAT,0.57,3,1,1,,9.61E6,5.4E6,1.28:0.72,9.61E6,5.4E6,1.28:0.72,41776,Histocompatibility 13 (Predicted)  isoform CRA_d OS=Rattus norvegicus GN=Hm13 PE=1 SV=1
1115,21479,tr|D3ZZS8|D3ZZS8_RAT,0.57,3,1,1,Carbamidomethylation,1.46E6,8.17E5,1.28:0.72,1.46E6,8.17E5,1.28:0.72,67247,Protein Atp6v1b1 OS=Rattus norvegicus GN=Atp6v1b1 PE=3 SV=2
364,2393,tr|A0A0G2JZA7|A0A0G2JZA7_RAT,0.57,7,8,8,Carbamidomethylation,1.75E7,1.37E7,1.12:0.88,1.75E7,1.37E7,1.12:0.88,153953,Protein Tmem2 OS=Rattus norvegicus GN=Tmem2 PE=1 SV=1
136,203,P06685|AT1A1_RAT,0.55,22,19,7,Carbamidomethylation,2.84E7,2.24E7,1.12:0.88,2.84E7,2.24E7,1.12:0.88,113054,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Rattus norvegicus GN=Atp1a1 PE=1 SV=1
1295,21957,Q66H12|NAGAB_RAT,0.55,4,1,1,,2.27E6,1.3E6,1.27:0.73,2.27E6,1.3E6,1.27:0.73,46871,Alpha-N-acetylgalactosaminidase OS=Rattus norvegicus GN=Naga PE=2 SV=1
135,1928,P97603|NEO1_RAT,0.55,22,20,18,Carbamidomethylation,2.26E7,1.76E7,1.13:0.87,2.26E7,1.76E7,1.13:0.87,150637,Neogenin (Fragment) OS=Rattus norvegicus GN=Neo1 PE=1 SV=1
350,78,tr|D3ZFQ8|D3ZFQ8_RAT,0.55,38,10,10,Carbamidomethylation,1.35E8,1.1E8,1.10:0.90,1.35E8,1.1E8,1.10:0.90,35435,Cytochrome c-1 (Predicted)  isoform CRA_c OS=Rattus norvegicus GN=Cyc1 PE=1 SV=3
627,21076,P13596|NCAM1_RAT,0.54,5,4,4,Carbamidomethylation,8.02E6,5.96E6,1.15:0.85,8.02E6,5.96E6,1.15:0.85,94658,Neural cell adhesion molecule 1 OS=Rattus norvegicus GN=Ncam1 PE=1 SV=1
998,316,tr|D3ZJF8|D3ZJF8_RAT,0.54,0,1,1,,1.03E8,5.97E7,1.26:0.74,1.03E8,5.97E7,1.26:0.74,275161,Protein Fcgbp OS=Rattus norvegicus GN=Fcgbp PE=1 SV=3
460,174,Q6AYT7|ABD12_RAT,0.54,22,7,6,,2.3E7,1.83E7,1.11:0.89,2.3E7,1.83E7,1.11:0.89,45296,Monoacylglycerol lipase ABHD12 OS=Rattus norvegicus GN=Abhd12 PE=2 SV=1
795,21055,tr|A0A0G2K2B5|A0A0G2K2B5_RAT,0.53,2,2,2,Carbamidomethylation,2.75E6,1.74E6,1.23:0.77,2.75E6,1.74E6,1.23:0.77,89525,Protein Asph OS=Rattus norvegicus GN=Asph PE=1 SV=1
415,317,Q64541|AT1A4_RAT,0.53,7,6,2,Carbamidomethylation,2.85E7,4.39E7,0.79:1.21,2.85E7,4.39E7,0.79:1.21,114005,Sodium/potassium-transporting ATPase subunit alpha-4 OS=Rattus norvegicus GN=Atp1a4 PE=2 SV=1
1158,4267,tr|D4A1L2|D4A1L2_RAT,0.53,0,1,1,Carbamidomethylation,1.03E6,1.77E6,0.74:1.26,1.03E6,1.77E6,0.74:1.26,300882,Protein Nbeal2 OS=Rattus norvegicus GN=Nbeal2 PE=1 SV=3
192,132,P27952|RS2_RAT,0.52,26,9,4,Carbamidomethylation,2.93E7,2.36E7,1.11:0.89,2.93E7,2.36E7,1.11:0.89,31231,40S ribosomal protein S2 OS=Rattus norvegicus GN=Rps2 PE=1 SV=1
426,137,tr|A0A0G2K0W3|A0A0G2K0W3_RAT,0.52,14,7,7,,3.96E7,3.16E7,1.11:0.89,3.96E7,3.16E7,1.11:0.89,57961,Protein tweety homolog OS=Rattus norvegicus GN=Ttyh3 PE=1 SV=1
1197,23385,tr|A0A140UHY3|A0A140UHY3_RAT,0.52,2,1,1,,6E6,3.53E6,1.26:0.74,6E6,3.53E6,1.26:0.74,68906,Protein Ewsr1 OS=Rattus norvegicus GN=Ewsr1 PE=1 SV=1
652,20937,P31647|S6A11_RAT,0.51,9,5,4,Carbamidomethylation,3.25E7,2.63E7,1.11:0.89,3.25E7,2.63E7,1.11:0.89,69947,Sodium- and chloride-dependent GABA transporter 3 OS=Rattus norvegicus GN=Slc6a11 PE=1 SV=1
1316,1602,tr|A0A0G2K1F7|A0A0G2K1F7_RAT,0.51,0,1,1,,1.72E7,1.02E7,1.25:0.75,1.72E7,1.02E7,1.25:0.75,395111,Protein Myo15a OS=Rattus norvegicus GN=Myo15a PE=4 SV=1
585,14097,tr|G3V7N0|G3V7N0_RAT,0.51,15,4,4,Carbamidomethylation,2.43E7,1.96E7,1.11:0.89,2.43E7,1.96E7,1.11:0.89,41851,Heparan sulfate 2-O-sulfotransferase 1  isoform CRA_a OS=Rattus norvegicus GN=Hs2st1 PE=1 SV=1
530,2723,P62752|RL23A_RAT,0.51,27,4,4,,1.42E7,1.14E7,1.11:0.89,1.42E7,1.14E7,1.11:0.89,17695,60S ribosomal protein L23a OS=Rattus norvegicus GN=Rpl23a PE=2 SV=1
1440,13014,tr|A0A0G2K397|A0A0G2K397_RAT,0.51,2,1,1,,4.82E6,8.09E6,0.75:1.25,4.82E6,8.09E6,0.75:1.25,32660,Protein LOC102551929 OS=Rattus norvegicus GN=LOC102551929 PE=4 SV=1
198,101,Q9JHY2|SFXN3_RAT,0.50,46,14,14,,1.33E8,1.11E8,1.09:0.91,1.33E8,1.11E8,1.09:0.91,35433,Sideroflexin-3 OS=Rattus norvegicus GN=Sfxn3 PE=2 SV=1
888,21090,P18266|GSK3B_RAT,0.50,6,2,2,,1.88E6,2.88E6,0.79:1.21,1.88E6,2.88E6,0.79:1.21,46742,Glycogen synthase kinase-3 beta OS=Rattus norvegicus GN=Gsk3b PE=1 SV=1
252,2316,Q62763|KC1G3_RAT,0.50,22,9,4,Carbamidomethylation,8.74E6,1.09E7,0.89:1.11,8.74E6,1.09E7,0.89:1.11,51429,Casein kinase I isoform gamma-3 OS=Rattus norvegicus GN=Csnk1g3 PE=1 SV=1
1343,41680,Q9EPZ7|SO1C1_RAT,0.50,4,3,2,,2.78E6,3.99E6,0.82:1.18,2.78E6,3.99E6,0.82:1.18,78627,Solute carrier organic anion transporter family member 1C1 OS=Rattus norvegicus GN=Slco1c1 PE=1 SV=1
1102,41604,tr|M0RAS4|M0RAS4_RAT,0.50,3,1,1,,1.53E7,9.22E6,1.25:0.75,1.53E7,9.22E6,1.25:0.75,40571,Protein Igsf21 OS=Rattus norvegicus GN=Igsf21 PE=4 SV=2
1124,2912,tr|D3ZQE7|D3ZQE7_RAT,0.50,2,1,1,,3.2E5,1.91E5,1.25:0.75,3.2E5,1.91E5,1.25:0.75,100077,Protein Jakmip2 OS=Rattus norvegicus GN=Jakmip2 PE=1 SV=3
1244,41639,tr|G3V602|G3V602_RAT,0.50,2,1,1,Carbamidomethylation,9.19E5,5.51E5,1.25:0.75,9.19E5,5.51E5,1.25:0.75,81735,Protein Xpr1 OS=Rattus norvegicus GN=Xpr1 PE=1 SV=1
254,252,P62813|GBRA1_RAT,0.50,24,11,8,,3.5E7,2.83E7,1.11:0.89,3.5E7,2.83E7,1.11:0.89,51754,Gamma-aminobutyric acid receptor subunit alpha-1 OS=Rattus norvegicus GN=Gabra1 PE=1 SV=1
345,408,P20611|PPAL_RAT,0.49,20,8,8,Carbamidomethylation,4.11E7,3.37E7,1.10:0.90,4.11E7,3.37E7,1.10:0.90,48320,Lysosomal acid phosphatase OS=Rattus norvegicus GN=Acp2 PE=1 SV=1
81,3380,tr|D3ZPN0|D3ZPN0_RAT,0.49,24,22,21,Carbamidomethylation,2.18E7,2.77E7,0.88:1.12,2.18E7,2.77E7,0.88:1.12,132113,Protein Pcdh17 OS=Rattus norvegicus GN=Pcdh17 PE=4 SV=2
606,2140,tr|A0A0G2JWG6|A0A0G2JWG6_RAT,0.49,1,3,2,,1.84E8,1.54E8,1.09:0.91,1.84E8,1.54E8,1.09:0.91,369078,Protein Golgb1 OS=Rattus norvegicus GN=Golgb1 PE=1 SV=1
299,94,Q6IMF3|K2C1_RAT,0.48,10,10,7,,3.44E8,2.89E8,1.09:0.91,3.44E8,2.89E8,1.09:0.91,64831,Keratin  type II cytoskeletal 1 OS=Rattus norvegicus GN=Krt1 PE=2 SV=1
1172,24053,P97608|OPLA_RAT,0.48,1,1,1,,9.23E5,5.59E5,1.25:0.75,9.23E5,5.59E5,1.25:0.75,137720,5-oxoprolinase OS=Rattus norvegicus GN=Oplah PE=1 SV=2
537,20993,Q460M5|LRFN2_RAT,0.48,6,4,4,Carbamidomethylation,5.71E6,4.51E6,1.12:0.88,5.71E6,4.51E6,1.12:0.88,84917,Leucine-rich repeat and fibronectin type-III domain-containing protein 2 OS=Rattus norvegicus GN=Lrfn2 PE=1 SV=1
702,13390,Q9EQG6|KDIS_RAT,0.48,2,3,3,,4.42E6,3.51E6,1.11:0.89,4.42E6,3.51E6,1.11:0.89,195715,Kinase D-interacting substrate of 220 kDa OS=Rattus norvegicus GN=Kidins220 PE=1 SV=2
549,262,P20236|GBRA3_RAT,0.48,10,5,3,,1.47E7,1.19E7,1.10:0.90,1.47E7,1.19E7,1.10:0.90,55433,Gamma-aminobutyric acid receptor subunit alpha-3 OS=Rattus norvegicus GN=Gabra3 PE=1 SV=1
751,11468,tr|D3ZC81|D3ZC81_RAT,0.48,13,3,3,Carbamidomethylation,1.93E6,2.44E6,0.88:1.12,1.93E6,2.44E6,0.88:1.12,37112,Protein Pex10 OS=Rattus norvegicus GN=Pex10 PE=1 SV=1
152,90,tr|F1M6P8|F1M6P8_RAT,0.48,37,17,17,Carbamidomethylation,6.69E7,5.51E7,1.10:0.90,6.69E7,5.51E7,1.10:0.90,53777,Protein Edil3 OS=Rattus norvegicus GN=Edil3 PE=4 SV=3
1,1,tr|G3V928|G3V928_RAT,0.48,39,145,143,Carbamidomethylation,5.08E8,6.2E8,0.90:1.10,5.08E8,6.2E8,0.90:1.10,504892,Protein Lrp1 OS=Rattus norvegicus GN=Lrp1 PE=1 SV=1
1095,21986,P11980|KPYM_RAT,0.47,2,1,1,,2.61E7,1.6E7,1.24:0.76,2.61E7,1.6E7,1.24:0.76,57818,Pyruvate kinase PKM OS=Rattus norvegicus GN=Pkm PE=1 SV=3
1164,22899,tr|G3V727|G3V727_RAT,0.47,3,1,1,,2.37E6,1.47E6,1.24:0.76,2.37E6,1.47E6,1.24:0.76,50697,DEAD (Asp-Glu-Ala-Asp) box polypeptide 47  isoform CRA_a OS=Rattus norvegicus GN=Ddx47 PE=1 SV=1
919,12371,tr|D4A6W6|D4A6W6_RAT,0.47,11,2,2,,5.49E6,7.5E6,0.85:1.15,5.49E6,7.5E6,0.85:1.15,28157,Protein RGD1561333 OS=Rattus norvegicus GN=RGD1561333 PE=3 SV=1
733,2356,Q641Y2|NDUS2_RAT,0.46,7,3,3,,4.86E6,3.96E6,1.10:0.90,4.86E6,3.96E6,1.10:0.90,52562,NADH dehydrogenase [ubiquinone] iron-sulfur protein 2  mitochondrial OS=Rattus norvegicus GN=Ndufs2 PE=1 SV=1
845,21046,tr|M0RDA4|M0RDA4_RAT,0.46,3,3,1,Carbamidomethylation,1.05E7,6.56E6,1.23:0.77,1.05E7,6.56E6,1.23:0.77,108728,Protein Ephb4 OS=Rattus norvegicus GN=Ephb4 PE=1 SV=2
696,21028,tr|A0A0G2JY73|A0A0G2JY73_RAT,0.46,1,2,1,Carbamidomethylation,2.22E6,3.05E6,0.84:1.16,2.22E6,3.05E6,0.84:1.16,179115,Protein Eif4g3 OS=Rattus norvegicus GN=Eif4g3 PE=1 SV=1
1135,11422,P63182|CBLN1_RAT,0.46,4,1,1,,9.68E6,6.04E6,1.23:0.77,9.68E6,6.04E6,1.23:0.77,21083,Cerebellin-1 OS=Rattus norvegicus GN=Cbln1 PE=1 SV=2
1395,26992,Q3B8P0|PARL_RAT,0.46,3,1,1,,1.73E6,1.26E6,1.16:0.84,1.73E6,1.26E6,1.16:0.84,42126,Presenilins-associated rhomboid-like protein  mitochondrial OS=Rattus norvegicus GN=Parl PE=2 SV=1
1303,3615,O70276|RPE65_RAT,0.46,1,1,1,,1.32E6,2.12E6,0.77:1.23,1.32E6,2.12E6,0.77:1.23,61004,Retinoid isomerohydrolase OS=Rattus norvegicus GN=Rpe65 PE=2 SV=4
518,3374,tr|D4A628|D4A628_RAT,0.46,1,2,1,Carbamidomethylation,6.09E4,9.78E4,0.77:1.23,6.09E4,9.78E4,0.77:1.23,281651,Polymerase (DNA directed)  theta (Predicted)  isoform CRA_a OS=Rattus norvegicus GN=Polq PE=4 SV=1
1448,24124,tr|A0A0G2KB96|A0A0G2KB96_RAT,0.46,1,1,1,,4.1E6,2.56E6,1.23:0.77,4.1E6,2.56E6,1.23:0.77,113330,Protein Stil OS=Rattus norvegicus GN=Stil PE=4 SV=1
803,21353,tr|F1M1A6|F1M1A6_RAT,0.45,9,3,3,,2.63E7,2.18E7,1.09:0.91,2.63E7,2.18E7,1.09:0.91,33280,Protein LOC681355 OS=Rattus norvegicus GN=LOC681355 PE=1 SV=2
1348,5317,Q5U2M8|MDC1_RAT,0.45,1,1,1,Carbamidomethylation,1.35E6,8.51E5,1.23:0.77,1.35E6,8.51E5,1.23:0.77,136948,Mediator of DNA damage checkpoint protein 1 OS=Rattus norvegicus GN=Mdc1 PE=1 SV=2
943,21194,tr|Q505J7|Q505J7_RAT,0.45,5,2,2,,2.71E6,1.98E6,1.15:0.85,2.71E6,1.98E6,1.15:0.85,49295,Galactose-3-O-sulfotransferase 3 OS=Rattus norvegicus GN=Gal3st3 PE=2 SV=1
523,11031,P24049|RL17_RAT,0.44,27,7,7,Carbamidomethylation,5.01E7,4.22E7,1.09:0.91,5.01E7,4.22E7,1.09:0.91,21397,60S ribosomal protein L17 OS=Rattus norvegicus GN=Rpl17 PE=2 SV=3
337,20985,P97527|CNTN5_RAT,0.44,8,6,6,Carbamidomethylation,9.52E6,7.81E6,1.10:0.90,9.52E6,7.81E6,1.10:0.90,120603,Contactin-5 OS=Rattus norvegicus GN=Cntn5 PE=1 SV=1
263,646,Q5FVH2|PLD3_RAT,0.44,25,10,10,Carbamidomethylation,7.47E7,6.26E7,1.09:0.91,7.47E7,6.26E7,1.09:0.91,54399,Phospholipase D3 OS=Rattus norvegicus GN=Pld3 PE=2 SV=1
304,11905,tr|A0A0G2JZA1|A0A0G2JZA1_RAT,0.44,5,6,5,,7.03E6,5.72E6,1.10:0.90,7.03E6,5.72E6,1.10:0.90,165789,Protein Robo2 OS=Rattus norvegicus GN=Robo2 PE=1 SV=1
250,20918,P70627|FOLH1_RAT,0.43,13,8,8,,1.21E7,1E7,1.09:0.91,1.21E7,1E7,1.09:0.91,84540,Glutamate carboxypeptidase 2 OS=Rattus norvegicus GN=Folh1 PE=1 SV=1
597,1409,tr|F1M6F4|F1M6F4_RAT,0.43,24,3,3,,2.59E7,2.15E7,1.09:0.91,2.59E7,2.15E7,1.09:0.91,13644,Protein LOC100912210 OS=Rattus norvegicus GN=LOC100912210 PE=4 SV=1
500,4221,tr|A0A0G2K5E4|A0A0G2K5E4_RAT,0.42,6,2,2,,1.43E7,1.19E7,1.09:0.91,1.43E7,1.19E7,1.09:0.91,52403,Protein Dnaja3 OS=Rattus norvegicus GN=Dnaja3 PE=1 SV=1
925,21063,tr|A0A0G2K743|A0A0G2K743_RAT,0.42,13,1,1,,2.87E6,1.85E6,1.22:0.78,2.87E6,1.85E6,1.22:0.78,12842,Protein RGD1562415 OS=Rattus norvegicus GN=RGD1562415 PE=4 SV=1
1033,21205,P53987|MOT1_RAT,0.42,4,2,2,,1.5E7,1.24E7,1.10:0.90,1.5E7,1.24E7,1.10:0.90,53238,Monocarboxylate transporter 1 OS=Rattus norvegicus GN=Slc16a1 PE=1 SV=1
414,206,tr|D3ZQ57|D3ZQ57_RAT,0.42,2,4,1,,3.54E6,2.3E6,1.21:0.79,3.54E6,2.3E6,1.21:0.79,205948,Plexin B2 OS=Rattus norvegicus GN=Plxnb2 PE=1 SV=1
1337,12134,tr|D4A0Y6|D4A0Y6_RAT,0.41,0,1,1,Carbamidomethylation,1.2E6,1.84E6,0.79:1.21,1.2E6,1.84E6,0.79:1.21,343351,Protein Mki67 OS=Rattus norvegicus GN=Mki67 PE=1 SV=2
911,21809,tr|Q7TP05|Q7TP05_RAT,0.41,1,1,1,,6.32E5,4.11E5,1.21:0.79,6.32E5,4.11E5,1.21:0.79,124039,Da1-24 OS=Rattus norvegicus GN=Cfb PE=1 SV=1
648,363,P20786|PGFRA_RAT,0.41,2,2,1,,1.1E6,7.14E5,1.21:0.79,1.1E6,7.14E5,1.21:0.79,122642,Platelet-derived growth factor receptor alpha OS=Rattus norvegicus GN=Pdgfra PE=1 SV=2
576,399,P62914|RL11_RAT,0.41,24,5,4,,1.12E8,9.53E7,1.08:0.92,1.12E8,9.53E7,1.08:0.92,20252,60S ribosomal protein L11 OS=Rattus norvegicus GN=Rpl11 PE=1 SV=2
1116,21669,Q701R3|SIAT2_RAT,0.41,2,1,1,,9.66E5,6.33E5,1.21:0.79,9.66E5,6.33E5,1.21:0.79,59917,Beta-galactoside alpha-2 6-sialyltransferase 2 OS=Rattus norvegicus GN=St6gal2 PE=2 SV=1
150,11015,Q60587|ECHB_RAT,0.41,37,19,18,Carbamidomethylation,5.8E7,4.79E7,1.10:0.90,5.8E7,4.79E7,1.10:0.90,51414,Trifunctional enzyme subunit beta  mitochondrial OS=Rattus norvegicus GN=Hadhb PE=1 SV=1
581,20970,P00787|CATB_RAT,0.40,21,6,6,Carbamidomethylation,2.66E7,3.13E7,0.92:1.08,2.66E7,3.13E7,0.92:1.08,37470,Cathepsin B OS=Rattus norvegicus GN=Ctsb PE=1 SV=2
51,7,Q6P9T8|TBB4B_RAT,0.40,59,26,1,Carbamidomethylation,1.77E7,1.18E7,1.20:0.80,1.77E7,1.18E7,1.20:0.80,49801,Tubulin beta-4B chain OS=Rattus norvegicus GN=Tubb4b PE=1 SV=1
883,532,P61983|1433G_RAT,0.39,9,2,1,,2.48E6,3.29E6,0.86:1.14,2.48E6,3.29E6,0.86:1.14,28303,14-3-3 protein gamma OS=Rattus norvegicus GN=Ywhag PE=1 SV=2
174,20895,tr|D4A3H5|D4A3H5_RAT,0.38,21,13,13,Carbamidomethylation,2.68E7,2.26E7,1.09:0.91,2.68E7,2.26E7,1.09:0.91,96989,Chloride channel protein OS=Rattus norvegicus GN=Clcn6 PE=1 SV=1
905,21115,P97521|MCAT_RAT,0.38,4,1,1,,1.04E6,1.54E6,0.80:1.20,1.04E6,1.54E6,0.80:1.20,33154,Mitochondrial carnitine/acylcarnitine carrier protein OS=Rattus norvegicus GN=Slc25a20 PE=1 SV=1
643,21123,Q9JJ54|HNRPD_RAT,0.38,6,2,2,,6.39E6,4.72E6,1.15:0.85,6.39E6,4.72E6,1.15:0.85,38218,Heterogeneous nuclear ribonucleoprotein D0 OS=Rattus norvegicus GN=Hnrnpd PE=1 SV=2
770,21067,tr|Q5RK08|Q5RK08_RAT,0.37,17,5,4,Carbamidomethylation,8.02E6,9.53E6,0.91:1.09,8.02E6,9.53E6,0.91:1.09,32942,Glioblastoma amplified sequence OS=Rattus norvegicus GN=Gbas PE=1 SV=1
747,231,Q9EQV6|TPP1_RAT,0.37,8,3,3,,5.67E7,6.6E7,0.92:1.08,5.67E7,6.6E7,0.92:1.08,61332,Tripeptidyl-peptidase 1 OS=Rattus norvegicus GN=Tpp1 PE=1 SV=1
560,20962,tr|E9PT51|E9PT51_RAT,0.37,22,7,7,,1.35E7,1.15E7,1.08:0.92,1.35E7,1.15E7,1.08:0.92,41797,DNA-directed polymerase delta interacting protein 2 OS=Rattus norvegicus GN=Poldip2 PE=1 SV=3
501,5487,O08653|TEP1_RAT,0.37,0,1,1,,1.51E6,1.03E6,1.19:0.81,1.51E6,1.03E6,1.19:0.81,291706,Telomerase protein component 1 OS=Rattus norvegicus GN=Tep1 PE=1 SV=1
862,20986,tr|F1M1E4|F1M1E4_RAT,0.36,16,5,5,Carbamidomethylation,1.05E7,8.97E6,1.08:0.92,1.05E7,8.97E6,1.08:0.92,42929,Protein Pnkd OS=Rattus norvegicus GN=Pnkd PE=1 SV=1
244,198,tr|A0A0G2K9D7|A0A0G2K9D7_RAT,0.36,7,5,5,,1.35E7,1.14E7,1.09:0.91,1.35E7,1.14E7,1.09:0.91,101183,Protein Pcdhgc3 OS=Rattus norvegicus GN=Pcdhgc3 PE=1 SV=1
810,5144,tr|D4A1D3|D4A1D3_RAT,0.36,0,1,1,,2.24E7,1.77E7,1.12:0.88,2.24E7,1.77E7,1.12:0.88,521487,Protein Sacs OS=Rattus norvegicus GN=Sacs PE=1 SV=2
798,21161,tr|G3V8P7|G3V8P7_RAT,0.35,2,2,2,,2.26E7,1.72E7,1.14:0.86,2.26E7,1.72E7,1.14:0.86,87361,Protein LOC100911794 OS=Rattus norvegicus GN=LOC100911794 PE=4 SV=1
1458,12161,tr|A0A0G2JU25|A0A0G2JU25_RAT,0.35,2,1,1,,5.89E6,4.08E6,1.18:0.82,5.89E6,4.08E6,1.18:0.82,61854,Polypeptide N-acetylgalactosaminyltransferase OS=Rattus norvegicus GN=Galnt2 PE=1 SV=1
1257,13834,Q569C3|UBP1_RAT,0.35,1,1,1,,5.59E6,8.07E6,0.82:1.18,5.59E6,8.07E6,0.82:1.18,87329,Ubiquitin carboxyl-terminal hydrolase 1 OS=Rattus norvegicus GN=Usp1 PE=1 SV=1
1252,12212,P83883|RL36A_RAT,0.35,7,1,1,,1.18E7,8.17E6,1.18:0.82,1.18E7,8.17E6,1.18:0.82,12441,60S ribosomal protein L36a OS=Rattus norvegicus GN=Rpl36a PE=1 SV=2
674,1885,Q641Y0|OST48_RAT,0.35,8,4,3,,7.37E6,6.34E6,1.08:0.92,7.37E6,6.34E6,1.08:0.92,48896,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Rattus norvegicus GN=Ddost PE=2 SV=1
949,21664,Q76K24|ANR46_RAT,0.35,14,3,3,Carbamidomethylation,1.21E6,1.44E6,0.92:1.08,1.21E6,1.44E6,0.92:1.08,25181,Ankyrin repeat domain-containing protein 46 OS=Rattus norvegicus GN=Ankrd46 PE=2 SV=1
715,3147,P24062|IGF1R_RAT,0.35,1,2,1,Carbamidomethylation,1.66E6,1.16E6,1.18:0.82,1.66E6,1.16E6,1.18:0.82,155395,Insulin-like growth factor 1 receptor OS=Rattus norvegicus GN=Igf1r PE=2 SV=2
1309,23134,tr|B0BN68|B0BN68_RAT,0.34,3,1,1,,2.73E6,1.91E6,1.18:0.82,2.73E6,1.91E6,1.18:0.82,45011,Mitochondrial ribosomal protein S9 OS=Rattus norvegicus GN=Mrps9 PE=1 SV=1
1057,21452,tr|B0BNK1|B0BNK1_RAT,0.34,11,2,2,,6.95E5,8.87E5,0.88:1.12,6.95E5,8.87E5,0.88:1.12,23425,Protein Rab5c OS=Rattus norvegicus GN=Rab5c PE=1 SV=1
